VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-01-01 07:35:13,2016-01-01 07:53:16,1,6.0,-74.00212860107422,40.74897384643555,1,N,-73.9622802734375,40.71465301513672,2,19.0,0.0,0.5,0.0,0.0,0.3,19.8
1,2016-01-01 07:35:15,2016-01-01 07:50:23,1,8.8,-73.94154357910156,40.75498962402344,1,N,-73.83589935302734,40.71934509277344,1,25.5,0.0,0.5,4.0,0.0,0.3,30.3
2,2016-01-01 07:35:20,2016-01-01 07:51:00,1,5.2,-73.90399169921875,40.74559020996094,1,N,-73.95630645751955,40.77983093261719,1,17.5,0.0,0.5,3.66,0.0,0.3,21.96
2,2016-01-01 07:35:22,2016-01-01 07:54:38,1,13.84,-73.78221130371094,40.64466857910156,1,N,-73.91979217529298,40.73931884765625,2,37.5,0.0,0.5,0.0,0.0,0.3,38.3
2,2016-01-01 07:35:23,2016-01-01 07:51:15,5,6.05,-73.98983764648438,40.767295837402344,1,N,-74.01427459716798,40.709468841552734,1,20.0,0.0,0.5,2.0,0.0,0.3,22.8
2,2016-01-01 07:35:24,2016-01-01 07:50:56,1,1.95,-74.00080108642578,40.718650817871094,1,N,-74.01747131347656,40.70792007446289,1,11.5,0.0,0.5,2.46,0.0,0.3,14.76
2,2016-01-01 07:35:45,2016-01-01 07:52:46,1,13.29,-73.98936462402342,40.76788330078125,1,N,-73.88585662841797,40.8795051574707,2,36.0,0.0,0.5,0.0,2.54,0.3,39.34
1,2016-01-01 07:35:45,2016-01-01 07:53:22,2,6.9,-73.97799682617188,40.78314208984375,1,N,-73.91939544677734,40.7687873840332,1,22.0,0.0,0.5,5.65,5.54,0.3,33.99
2,2016-01-01 07:35:52,2016-01-01 07:51:02,1,5.7,-74.0076904296875,40.704925537109375,1,N,-73.93291473388672,40.7076301574707,1,18.5,0.0,0.5,1.0,0.0,0.3,20.3
2,2016-01-01 07:35:58,2016-01-01 07:53:35,1,6.77,-73.9647216796875,40.8067741394043,1,N,-73.99590301513672,40.73447799682617,1,21.0,0.0,0.5,4.36,0.0,0.3,26.16
1,2016-01-01 07:36:03,2016-01-01 07:53:29,1,10.2,-73.97158813476562,40.75583267211913,1,N,-73.87274169921875,40.77444458007813,2,29.5,0.0,0.5,0.0,5.54,0.3,35.84
1,2016-01-01 07:36:20,2016-01-01 07:52:56,1,5.0,-73.95417022705078,40.70714950561523,1,N,-73.9913558959961,40.75006103515625,2,17.5,0.0,0.5,0.0,0.0,0.3,18.3
2,2016-01-01 07:36:20,2016-01-01 07:51:11,3,3.68,-73.92218780517578,40.830055236816406,1,N,-73.94477844238281,40.78747177124024,2,14.0,0.0,0.5,0.0,0.0,0.3,14.8
2,2016-01-01 07:36:21,2016-01-01 07:54:16,1,8.76,-73.99971771240234,40.68705749511719,1,N,-73.97508239746094,40.76548385620117,1,26.5,0.0,0.5,2.5,0.0,0.3,29.8
1,2016-01-01 07:36:23,2016-01-01 07:54:32,1,5.0,-73.98966979980467,40.72637939453125,1,N,-73.94482421875,40.67808532714844,1,18.5,0.0,0.5,3.85,0.0,0.3,23.15
2,2016-01-01 07:36:24,2016-01-01 07:50:09,6,5.27,-73.95346069335938,40.77568054199219,1,N,-73.9062271118164,40.77265930175781,1,17.5,0.0,0.5,3.66,0.0,0.3,21.96
2,2016-01-01 07:36:37,2016-01-01 07:52:08,2,4.26,-74.0058364868164,40.73625183105469,1,N,-73.95771026611328,40.765640258789055,2,15.0,0.0,0.5,0.0,0.0,0.3,15.8
1,2016-01-01 07:36:50,2016-01-01 07:50:29,2,5.2,-73.98703765869139,40.75939559936523,1,Y,-73.99436950683594,40.702003479003906,2,16.5,0.0,0.5,0.0,0.0,0.3,17.3
2,2016-01-01 07:37:01,2016-01-01 07:53:36,5,8.64,-73.97846221923827,40.74129104614258,1,N,-73.88016510009766,40.73710250854492,2,25.5,0.0,0.5,0.0,0.0,0.3,26.3
